School Name,District,Total Enrollment (Final)
Nashville Primary School,NASHVILLE SCHOOL DISTRICT,622
Central Elementary School,BATESVILLE SCHOOL DISTRICT,354
West Elementary School,BATESVILLE SCHOOL DISTRICT,519
Batesville Junior High School,BATESVILLE SCHOOL DISTRICT,683
Batesville High School,BATESVILLE SCHOOL DISTRICT,611
Eagle Mountain Elem School,BATESVILLE SCHOOL DISTRICT,469
Sulphur Rock Elementary,BATESVILLE SCHOOL DISTRICT,341
Southside Elementary School,SOUTHSIDE SCHOOL DISTRICT (INDEPENDENCE),578
Southside Middle School,SOUTHSIDE SCHOOL DISTRICT (INDEPENDENCE),440
Southside Junior High School,SOUTHSIDE SCHOOL DISTRICT (INDEPENDENCE),436
Southside Charter High School,SOUTHSIDE SCHOOL DISTRICT (INDEPENDENCE),338
Midland Elementary School,MIDLAND SCHOOL DISTRICT,302
Midland High School,MIDLAND SCHOOL DISTRICT,239
Cord-Charlotte Elem. School,CEDAR RIDGE SCHOOL DISTRICT,101
Newark Elementary School,CEDAR RIDGE SCHOOL DISTRICT,252
Cedar Ridge High School,CEDAR RIDGE SCHOOL DISTRICT,412
Calico Rock Elementary School,CALICO ROCK SCHOOL DISTRICT,230
Calico Rock High School,CALICO ROCK SCHOOL DISTRICT,194
Melbourne Elementary School,MELBOURNE SCHOOL DISTRICT,458
Melbourne High School,MELBOURNE SCHOOL DISTRICT,402
Izard Co. Cons. Elem. School,IZARD COUNTY CONSOLIDATED SCHOOL DISTRICT,184
Izard Co. Cons. High School,IZARD COUNTY CONSOLIDATED SCHOOL DISTRICT,141
Izard County Cons Middle Sch,IZARD COUNTY CONSOLIDATED SCHOOL DISTRICT,149
Newport High School,NEWPORT SCHOOL DISTRICT,486
Newport Elementary School,NEWPORT SCHOOL DISTRICT,661
Swifton Middle School,JACKSON CO. SCHOOL DISTRICT,226
Tuckerman Elementary School,JACKSON CO. SCHOOL DISTRICT,343
Tuckerman High School,JACKSON CO. SCHOOL DISTRICT,295
Matthews Elementary School,DOLLARWAY SCHOOL DISTRICT,443
Robert F Morehead Middle Schoo,DOLLARWAY SCHOOL DISTRICT,313
Dollarway High School,DOLLARWAY SCHOOL DISTRICT,319
Belair Middle School,PINE BLUFF SCHOOL DISTRICT,571
Broadmoor Elementary School,PINE BLUFF SCHOOL DISTRICT,352
Thirty-Fourth Street Elementary School,PINE BLUFF SCHOOL DISTRICT,402
Southwood Elementary School,PINE BLUFF SCHOOL DISTRICT,399
Pine Bluff High School,PINE BLUFF SCHOOL DISTRICT,1168
Jack Robey Middle School,PINE BLUFF SCHOOL DISTRICT,573
W. T. Cheney Elementary School,PINE BLUFF SCHOOL DISTRICT,363
Forrest Park/Greenville Preschool,N/A,N/A
Edgewood Elementary School,WATSON CHAPEL SCHOOL DISTRICT,318
L. L. Owen Elementary School,WATSON CHAPEL SCHOOL DISTRICT,411
Coleman Elementary School,WATSON CHAPEL SCHOOL DISTRICT,576
Watson Chapel High School,WATSON CHAPEL SCHOOL DISTRICT,630
Watson Chapel Jr. High School,WATSON CHAPEL SCHOOL DISTRICT,605
White Hall High School,WHITE HALL SCHOOL DISTRICT,874
Hardin Elementary School,WHITE HALL SCHOOL DISTRICT,244
Moody Elementary School,WHITE HALL SCHOOL DISTRICT,369
Taylor Elementary School,WHITE HALL SCHOOL DISTRICT,333
White Hall Middle School,WHITE HALL SCHOOL DISTRICT,631
Gandy Elementary School,WHITE HALL SCHOOL DISTRICT,303
Pine Bluff Lighthouse Elementary,PINE BLUFF LIGHTHOUSE ACADEMY,263
Pine Bluff Lighthouse College Prep Academy High School,PINE BLUFF LIGHTHOUSE ACADEMY,43
Quest Middle School of Pine Bluff,RESPONSIVE ED SOLUTIONS QUEST MIDDLE SCHOOL OF PINE BLUFF,105
Pyron Elementary School,CLARKSVILLE SCHOOL DISTRICT,617
Kraus Middle School,CLARKSVILLE SCHOOL DISTRICT,384
Clarksville Primary School,CLARKSVILLE SCHOOL DISTRICT,402
Clarksville Junior High School,CLARKSVILLE SCHOOL DISTRICT,633
Clarksville High School,CLARKSVILLE SCHOOL DISTRICT,543
Lamar Elementary School,LAMAR SCHOOL DISTRICT,439
Lamar High School,LAMAR SCHOOL DISTRICT,459
Lamar Middle School,LAMAR SCHOOL DISTRICT,416
Westside Elementary School,WESTSIDE SCHOOL DIST(JOHNSON),359
Westside High School,WESTSIDE SCHOOL DIST(JOHNSON),280
Lafayette County Elementary,LAFAYETTE COUNTY SCHOOL DISTRICT,308
Lafayette County High School,LAFAYETTE COUNTY SCHOOL DISTRICT,260
Hoxie Elementary School,HOXIE SCHOOL DISTRICT,452
Hoxie High School,HOXIE SCHOOL DISTRICT,391
Sloan-Hendrix Elem. School,SLOAN-HENDRIX SCHOOL DISTRICT,237
Sloan-Hendrix High School,SLOAN-HENDRIX SCHOOL DISTRICT,290
Sloan-Hendrix Middle School,SLOAN-HENDRIX SCHOOL DISTRICT,172
Hillcrest Elementary School,HILLCREST SCHOOL DISTRICT,219
Hillcrest High School,HILLCREST SCHOOL DISTRICT,195
Walnut Ridge Elementary School,LAWRENCE COUNTY SCHOOL DISTRICT,510
Walnut Ridge High School,LAWRENCE COUNTY SCHOOL DISTRICT,409
Imboden Area Charter School,IMBODEN CHARTER SCHOOL DISTRICT,54
Anna Strong Learning Academy,LEE COUNTY SCHOOL DISTRICT,415
Lee High School,LEE COUNTY SCHOOL DISTRICT,337
Brown Elementary School,STAR CITY SCHOOL DISTRICT,697
Star City Middle School,STAR CITY SCHOOL DISTRICT,366
Star City High School,STAR CITY SCHOOL DISTRICT,459
L.F. Henderson Intermediate. School,ASHDOWN SCHOOL DISTRICT,328
Ashdown Junior High School,ASHDOWN SCHOOL DISTRICT,338
Ashdown High School,ASHDOWN SCHOOL DISTRICT,400
Ashdown Elementary School,ASHDOWN SCHOOL DISTRICT,319
Oscar Hamilton Elementary Sch,FOREMAN SCHOOL DISTRICT,263
Foreman High School,FOREMAN SCHOOL DISTRICT,234
Booneville Elementary School,BOONEVILLE SCHOOL DISTRICT,631
Booneville High School,BOONEVILLE SCHOOL DISTRICT,289
Booneville Jr High School,BOONEVILLE SCHOOL DISTRICT,271
Magazine Elementary School,MAGAZINE SCHOOL DISTRICT,279
J.D. Leftwich High School,MAGAZINE SCHOOL DISTRICT,255
Paris Elementary School,PARIS SCHOOL DISTRICT,413
Paris High School,PARIS SCHOOL DISTRICT,341
Paris Middle School,PARIS SCHOOL DISTRICT,313
Scranton Elementary School,SCRANTON SCHOOL DISTRICT,216
Scranton High School,SCRANTON SCHOOL DISTRICT,204
Lonoke Elementary School,LONOKE SCHOOL DISTRICT,401
Lonoke Middle School,LONOKE SCHOOL DISTRICT,417
Lonoke High School,LONOKE SCHOOL DISTRICT,541
Lonoke Primary School,LONOKE SCHOOL DISTRICT,383
England Elementary School,ENGLAND SCHOOL DISTRICT,390
England High School,ENGLAND SCHOOL DISTRICT,309
Carlisle Elementary School,CARLISLE SCHOOL DISTRICT,339
Carlisle High School,CARLISLE SCHOOL DISTRICT,306
Eastside Elementary School,CABOT SCHOOL DISTRICT,456
Central Elementary School,CABOT SCHOOL DISTRICT,350
Cabot Junior High South,CABOT SCHOOL DISTRICT,771
Cabot High School,CABOT SCHOOL DISTRICT,2064
Westside Elementary School,CABOT SCHOOL DISTRICT,378
Southside Elementary School,CABOT SCHOOL DISTRICT,475
Northside Elementary School,CABOT SCHOOL DISTRICT,355
Ward Central Elementary,CABOT SCHOOL DISTRICT,542
Cabot Middle School South,CABOT SCHOOL DISTRICT,728
Cabot Junior High North,CABOT SCHOOL DISTRICT,878
Cabot Middle School North,CABOT SCHOOL DISTRICT,851
Magness Creek Elementary,CABOT SCHOOL DISTRICT,394
Stagecoach Elementary School,CABOT SCHOOL DISTRICT,502
Mountain Springs Elem School,CABOT SCHOOL DISTRICT,451
Cabot Freshman Academy,CABOT SCHOOL DISTRICT,803
Academic Center for Excellence,CABOT SCHOOL DISTRICT,228
Watson Primary School,HUNTSVILLE SCHOOL DISTRICT,461
Huntsville Middle School,HUNTSVILLE SCHOOL DISTRICT,491
Huntsville High School,HUNTSVILLE SCHOOL DISTRICT,655
Huntsville Intermediate Sch,HUNTSVILLE SCHOOL DISTRICT,467
St. Paul Elementary School,HUNTSVILLE SCHOOL DISTRICT,126
St. Paul High School,HUNTSVILLE SCHOOL DISTRICT,105
Flippin Elementary School,FLIPPIN SCHOOL DISTRICT,391
Flippin High School,FLIPPIN SCHOOL DISTRICT,198
Flippin Middle School,FLIPPIN SCHOOL DISTRICT,213
Yellville-Summit Elem. School,YELLVILLE-SUMMIT SCHOOL DISTRICT.,384
Yellville-Summit High School,YELLVILLE-SUMMIT SCHOOL DISTRICT.,349
Genoa Central Elem. School,GENOA CENTRAL SCHOOL DISTRICT,396
Genoa Central High School,GENOA CENTRAL SCHOOL DISTRICT,371
Gary E. Cobb Middle School,GENOA CENTRAL SCHOOL DISTRICT,365
Fouke Elementary School,FOUKE SCHOOL DISTRICT,515
Fouke High School,FOUKE SCHOOL DISTRICT,330
Paulette Smith Middle School,FOUKE SCHOOL DISTRICT,213
College Hill Elementary School,TEXARKANA SCHOOL DISTRICT,321
Fairview Elementary School,TEXARKANA SCHOOL DISTRICT,260
Vera Kilpatrick Elem. School,TEXARKANA SCHOOL DISTRICT,405
Union Elementary School,TEXARKANA SCHOOL DISTRICT,271
College Hill Middle,TEXARKANA SCHOOL DISTRICT,597
North Heights Jr. High School,TEXARKANA SCHOOL DISTRICT,541
Arkansas High School,TEXARKANA SCHOOL DISTRICT,997
Edward D. Trice Elem. School,TEXARKANA SCHOOL DISTRICT,590
Washington Academy,TEXARKANA SCHOOL DISTRICT,85
Armorel Elementary School,ARMOREL SCHOOL DISTRICT,229
Armorel High School,ARMOREL SCHOOL DISTRICT,208
Blytheville Elementary School,BLYTHEVILLE SCHOOL DISTRICT,477
Blytheville Primary School,BLYTHEVILLE SCHOOL DISTRICT,560
Blytheville Middle School,BLYTHEVILLE SCHOOL DISTRICT,401
Blytheville High School-A New Tech School,BLYTHEVILLE SCHOOL DISTRICT,602
Rivercrest High School,RIVERCREST SCHOOL DISTRICT 57,585
Rivercrest Elementary School,RIVERCREST SCHOOL DISTRICT 57,606
Gosnell Elementary School,GOSNELL SCHOOL DISTRICT,740
Gosnell High School,GOSNELL SCHOOL DISTRICT,587
Manila Elementary School,MANILA SCHOOL DISTRICT,420
Manila High School,MANILA SCHOOL DISTRICT,321
Manila Middle School,MANILA SCHOOL DISTRICT,327
Osceola High School,OSCEOLA SCHOOL DISTRICT,319
North Elementary School,OSCEOLA SCHOOL DISTRICT,98
Carroll Smith Elementary Schoo,OSCEOLA SCHOOL DISTRICT,398
Osceola Stem Charter,OSCEOLA SCHOOL DISTRICT,341
C.B. Partee Elementary School,BRINKLEY SCHOOL DISTRICT,309
Brinkley High School,BRINKLEY SCHOOL DISTRICT,202
Clarendon Elementary School,CLARENDON SCHOOL DISTRICT,279
Clarendon High School,CLARENDON SCHOOL DISTRICT,201
Caddo Hills Elementary School,CADDO HILLS SCHOOL DISTRICT,326
Caddo Hills High School,CADDO HILLS SCHOOL DISTRICT,240
Bobby Barrett Elementary School,MOUNT IDA SCHOOL DISTRICT,253
Mount Ida High School,MOUNT IDA SCHOOL DISTRICT,218
Prescott Elementary School,PRESCOTT SCHOOL DISTRICT,537
Prescott High School,PRESCOTT SCHOOL DISTRICT,436
Nevada Elementary School,NEVADA SCHOOL DISTRICT,209
Nevada High  School,NEVADA SCHOOL DISTRICT,181
Jasper Elementary School,JASPER SCHOOL DISTRICT,228
Jasper High School,JASPER SCHOOL DISTRICT,232
Kingston Elementary School,JASPER SCHOOL DISTRICT,117
Kingston High School,JASPER SCHOOL DISTRICT,113
Oark Elementary School,JASPER SCHOOL DISTRICT,82
Oark High School,JASPER SCHOOL DISTRICT,83
Deer K-12 School,DEER/MT. JUDEA SCHOOL DISTRICT,195
Mt. Judea K-12 School,DEER/MT. JUDEA SCHOOL DISTRICT,121
Bearden Elementary School,BEARDEN SCHOOL DISTRICT,259
Bearden High School,BEARDEN SCHOOL DISTRICT,222
Fairview Elementary School,CAMDEN FAIRVIEW SCHOOL DISTRICT,397
Camden Fairview High School,CAMDEN FAIRVIEW SCHOOL DISTRICT,690
Ivory Primary School,CAMDEN FAIRVIEW SCHOOL DISTRICT,415
Camden Fairview Intermediate,CAMDEN FAIRVIEW SCHOOL DISTRICT,445
Camden Fairview Middle School,CAMDEN FAIRVIEW SCHOOL DISTRICT,522
Sparkman Elementary School,HARMONY GROVE SCHOOL DISTRICT (OUACHITA),82
Sparkman High School,HARMONY GROVE SCHOOL DISTRICT (OUACHITA),63
Harmony Grove Elem. School,HARMONY GROVE SCHOOL DISTRICT (OUACHITA),410
Harmony Grove High School,HARMONY GROVE SCHOOL DISTRICT (OUACHITA),394
Anne Watson Elementary School,EAST END SCHOOL DISTRICT,375
Bigelow High School,EAST END SCHOOL DISTRICT,286
Perryville Elementary School,PERRYVILLE SCHOOL DISTRICT,478
Perryville High School,PERRYVILLE SCHOOL DISTRICT,439
Barton Elementary School,BARTON-LEXA SCHOOL DISTRICT,418
Barton High School,BARTON-LEXA SCHOOL DISTRICT,373
Central High School,HELENA/ WEST HELENA SCHOOL DISTRICT,643
J. F. Wahl Primary School,HELENA/ WEST HELENA SCHOOL DISTRICT,437
Eliza Miller Elementary School,HELENA/ WEST HELENA SCHOOL DISTRICT,312
Marvell-Elaine Elementary Sch,MARVELL-ELAINE SCHOOL DISTRICT,198
Marvell-Elaine High School,MARVELL-ELAINE SCHOOL DISTRICT,164
Kipp Delta Elem Literacy Acad,KIPP DELTA PUBLIC SCHOOLS,386
Kipp:delta College Prep School,KIPP DELTA PUBLIC SCHOOLS,271
Kipp:delta Collegiate High Sch,KIPP DELTA PUBLIC SCHOOLS,218
Kipp: Blytheville College Prep,KIPP DELTA PUBLIC SCHOOLS,124
Kipp Blytheville Collegiate High School,KIPP DELTA PUBLIC SCHOOLS,224
Forrest City College Preparatory School,KIPP DELTA PUBLIC SCHOOLS,114
Centerpoint Primary School,CENTERPOINT SCHOOL DISTRICT,270
Centerpoint Intermediate Sch,CENTERPOINT SCHOOL DISTRICT,133
Centerpoint High School,CENTERPOINT SCHOOL DISTRICT,513
Kirby Elementary School,KIRBY SCHOOL DISTRICT,190
Kirby High School,KIRBY SCHOOL DISTRICT,162
Delight Elementary School,SOUTH PIKE COUNTY SCHOOL DISTRICT,87
Murfreesboro Elementary School,SOUTH PIKE COUNTY SCHOOL DISTRICT,281
Murfreesboro High School,SOUTH PIKE COUNTY SCHOOL DISTRICT,316
Harrisburg Elementary School,HARRISBURG SCHOOL DISTRICT,399
Harrisburg High School,HARRISBURG SCHOOL DISTRICT,367
Harrisburg Middle School,HARRISBURG SCHOOL DISTRICT,307
Weiner Elementary,HARRISBURG SCHOOL DISTRICT,108
Marked Tree Elementary School,MARKED TREE SCHOOL DISTRICT,234
Marked Tree High School,MARKED TREE SCHOOL DISTRICT,178
Marked Tree Middle School,MARKED TREE SCHOOL DISTRICT,126
Trumann Intermediate Sch 5-6,TRUMANN SCHOOL DISTRICT,241
Cedar Park Elementary School,TRUMANN SCHOOL DISTRICT,645
Trumann High School,TRUMANN SCHOOL DISTRICT,420
Trumann Intermediate School7-8,TRUMANN SCHOOL DISTRICT,211
Lepanto Elementary,EAST POINSETT CO. SCHOOL DIST.,155
Tyronza Elementary,EAST POINSETT CO. SCHOOL DIST.,201
East Poinsett Co. High School,EAST POINSETT CO. SCHOOL DIST.,334
Louise Durham Elem. School,MENA SCHOOL DISTRICT,399
Holly Harshman Elem. School,MENA SCHOOL DISTRICT,400
Mena Middle School,MENA SCHOOL DISTRICT,407
Mena High School,MENA SCHOOL DISTRICT,465
Acorn Elementary School,OUACHITA RIVER SCHOOL DISTRICT,260
Acorn High School,OUACHITA RIVER SCHOOL DISTRICT,281
Ole Maddox Elementary School,OUACHITA RIVER SCHOOL DISTRICT,91
Oden High School,OUACHITA RIVER SCHOOL DISTRICT,88
Van Cove Elementary School,COSSATOT RIVER SCHOOL DISTRICT,173
Wickes Elementary School,COSSATOT RIVER SCHOOL DISTRICT,321
Cossatot River High School,COSSATOT RIVER SCHOOL DISTRICT,398
Umpire K-12 School,COSSATOT RIVER SCHOOL DISTRICT,138
Atkins Elementary School,ATKINS SCHOOL DISTRICT,415
Atkins High School,ATKINS SCHOOL DISTRICT,282
Atkins Middle School,ATKINS SCHOOL DISTRICT,305
Dover High School,DOVER SCHOOL DISTRICT,429
Dover Middle School,DOVER SCHOOL DISTRICT,424
Dover Elementary School,DOVER SCHOOL DISTRICT,500
Hector Elementary School,HECTOR SCHOOL DISTRICT,324
Hector High School,HECTOR SCHOOL DISTRICT,284
Pottsville Elementary School,POTTSVILLE SCHOOL DISTRICT,554
Pottsville High School,POTTSVILLE SCHOOL DISTRICT,361
Pottsville Middle Grade,POTTSVILLE SCHOOL DISTRICT,411
Pottsville Junior High School,POTTSVILLE SCHOOL DISTRICT,380
Crawford Elementary School,RUSSELLVILLE SCHOOL DISTRICT,391
Dwight Elementary School,RUSSELLVILLE SCHOOL DISTRICT,225
London Elementary School,RUSSELLVILLE SCHOOL DISTRICT,138
Oakland Heights Elem. School,RUSSELLVILLE SCHOOL DISTRICT,439
Sequoyah Elementary School,RUSSELLVILLE SCHOOL DISTRICT,541
Russellville Middle School,RUSSELLVILLE SCHOOL DISTRICT,757
Russellville Jr. High School,RUSSELLVILLE SCHOOL DISTRICT,728
Russellville High School,RUSSELLVILLE SCHOOL DISTRICT,1129
Center Valley Elem. School,RUSSELLVILLE SCHOOL DISTRICT,377
Russellville Upper Elem. Sch.,RUSSELLVILLE SCHOOL DISTRICT,378
Des Arc Elementary School,DES ARC SCHOOL DISTRICT,264
Des Arc High School,DES ARC SCHOOL DISTRICT,259
Hazen Elementary School,HAZEN SCHOOL DISTRICT,417
Hazen High School,HAZEN SCHOOL DISTRICT,204
Central High School,LITTLE ROCK SCHOOL DISTRICT,2365
Hall High School,LITTLE ROCK SCHOOL DISTRICT,1051
Mann Magnet Middle School,LITTLE ROCK SCHOOL DISTRICT,827
Parkview Magnet High School,LITTLE ROCK SCHOOL DISTRICT,1103
Booker Arts Magnet Elem. Sch.,LITTLE ROCK SCHOOL DISTRICT,440
Dunbar Magnet Middle School,LITTLE ROCK SCHOOL DISTRICT,622
Pulaski Heights Middle School,LITTLE ROCK SCHOOL DISTRICT,748
Henderson Middle School,LITTLE ROCK SCHOOL DISTRICT,658
Bale Elementary School,LITTLE ROCK SCHOOL DISTRICT,332
Brady Elementary School,LITTLE ROCK SCHOOL DISTRICT,398
McDermott Elementary School,LITTLE ROCK SCHOOL DISTRICT,323
Carver Magnet Elem. School,LITTLE ROCK SCHOOL DISTRICT,247
Fair Park Early Childhood Ctr,N/A,N/A
Forest Park Elementary School,LITTLE ROCK SCHOOL DISTRICT,431
Franklin Incentive Elem. Sch.,LITTLE ROCK SCHOOL DISTRICT,252
Gibbs Magnet Elementary School,LITTLE ROCK SCHOOL DISTRICT,279
Western Hills Elem. School,LITTLE ROCK SCHOOL DISTRICT,209
Jefferson Elementary School,LITTLE ROCK SCHOOL DISTRICT,353
Meadowcliff Elementary School,LITTLE ROCK SCHOOL DISTRICT,363
M.L. King Magnet Elem. School,LITTLE ROCK SCHOOL DISTRICT,395
Pulaski Heights Elem. School,LITTLE ROCK SCHOOL DISTRICT,304
Romine Interdist. Elem. School,LITTLE ROCK SCHOOL DISTRICT,237
Stephens Elementary,LITTLE ROCK SCHOOL DISTRICT,309
Washington Magnet Elem. School,LITTLE ROCK SCHOOL DISTRICT,382
Williams Magnet Elem. School,LITTLE ROCK SCHOOL DISTRICT,490
Wilson Elementary School,LITTLE ROCK SCHOOL DISTRICT,314
Woodruff Early Childhood Ctr,N/A,N/A
Terry Elementary School,LITTLE ROCK SCHOOL DISTRICT,396
Fulbright Elementary School,LITTLE ROCK SCHOOL DISTRICT,552
Rockefeller Incentive Elem.,LITTLE ROCK SCHOOL DISTRICT,262
Baseline Elementary School,LITTLE ROCK SCHOOL DISTRICT,303
David O'Dodd Elementary School,LITTLE ROCK SCHOOL DISTRICT,270
Mabelvale Elementary School,LITTLE ROCK SCHOOL DISTRICT,514
Otter Creek Elementary School,LITTLE ROCK SCHOOL DISTRICT,506
Wakefield Elementary School,LITTLE ROCK SCHOOL DISTRICT,540
Mabelvale Middle School,LITTLE ROCK SCHOOL DISTRICT,622
J.A. Fair High School,LITTLE ROCK SCHOOL DISTRICT,856
McClellan Magnet High School,LITTLE ROCK SCHOOL DISTRICT,771
Alternative Agencies,N/A,N/A
Don Roberts Elementary School,LITTLE ROCK SCHOOL DISTRICT,896
Forest Heights Stem Academy,LITTLE ROCK SCHOOL DISTRICT,676
Pinnacle View Middle School,LITTLE ROCK SCHOOL DISTRICT,218
Cloverdale Middle School,LITTLE ROCK SCHOOL DISTRICT,579
Watson Elementary School,LITTLE ROCK SCHOOL DISTRICT,520
Chicot Elementary School,LITTLE ROCK SCHOOL DISTRICT,542
Geyer Springs Early Childhood Center,N/A,N/A
Amboy Elementary School,NORTH LITTLE ROCK SCHOOL DISTRICT,424
Boone Park Elementary School,NORTH LITTLE ROCK SCHOOL DISTRICT,353
Crestwood Elementary School,NORTH LITTLE ROCK SCHOOL DISTRICT,465
Glenview Elementary School,NORTH LITTLE ROCK SCHOOL DISTRICT,306
Indian Hills Elementary School,NORTH LITTLE ROCK SCHOOL DISTRICT,601
Lakewood Elementary School,NORTH LITTLE ROCK SCHOOL DISTRICT,445
Meadow Park Elementary School,NORTH LITTLE ROCK SCHOOL DISTRICT,434
Pike View Early Childhood Center,N/A,N/A
Seventh Street Elem. School,NORTH LITTLE ROCK SCHOOL DISTRICT,373
North Little Rock Middle School,NORTH LITTLE ROCK SCHOOL DISTRICT,1797
North Little Rock High School,NORTH LITTLE ROCK SCHOOL DISTRICT,2468
Ridgeroad Elementary School,NORTH LITTLE ROCK SCHOOL DISTRICT,586
Adkins Pre-K Center,N/A,N/A
Baker Interdistrict Elem. Sch.,PULASKI COUNTY SPECIAL SCHOOL DISTRICT,379
Crystal Hill Elementary,PULASKI COUNTY SPECIAL SCHOOL DISTRICT,641
Clinton Elementary School,PULASKI COUNTY SPECIAL SCHOOL DISTRICT,618
Harris Elementary School,PULASKI COUNTY SPECIAL SCHOOL DISTRICT,190
Landmark Elementary School,PULASKI COUNTY SPECIAL SCHOOL DISTRICT,221
Lawson Elementary School,PULASKI COUNTY SPECIAL SCHOOL DISTRICT,249
Oak Grove Elementary School,PULASKI COUNTY SPECIAL SCHOOL DISTRICT,220
Joe T. Robinson Elem. School,PULASKI COUNTY SPECIAL SCHOOL DISTRICT,159
Sherwood Elementary School,PULASKI COUNTY SPECIAL SCHOOL DISTRICT,287
Sylvan Hills Elementary School,PULASKI COUNTY SPECIAL SCHOOL DISTRICT,396
Fuller Middle School,PULASKI COUNTY SPECIAL SCHOOL DISTRICT,389
Sylvan Hills Middle School,PULASKI COUNTY SPECIAL SCHOOL DISTRICT,1158
Wilbur D. Mills High School,PULASKI COUNTY SPECIAL SCHOOL DISTRICT,597
Joe T. Robinson High School,PULASKI COUNTY SPECIAL SCHOOL DISTRICT,555
Sylvan Hills High School,PULASKI COUNTY SPECIAL SCHOOL DISTRICT,1363
Cato Elementary School,PULASKI COUNTY SPECIAL SCHOOL DISTRICT,293
College Station Elem. School,PULASKI COUNTY SPECIAL SCHOOL DISTRICT,182
Oakbrooke Elementary School,PULASKI COUNTY SPECIAL SCHOOL DISTRICT,465
Pine Forest Elementary School,PULASKI COUNTY SPECIAL SCHOOL DISTRICT,561
Joe T. Robinson Middle School,PULASKI COUNTY SPECIAL SCHOOL DISTRICT,451
Bates Elementary School,PULASKI COUNTY SPECIAL SCHOOL DISTRICT,400
Maumelle Middle School,PULASKI COUNTY SPECIAL SCHOOL DISTRICT,786
Chenal Elementary School,PULASKI COUNTY SPECIAL SCHOOL DISTRICT,524
Maumelle High School,PULASKI COUNTY SPECIAL SCHOOL DISTRICT,1064
Arnold Drive Elementary School,JACKSONVILLE NORTH PULASKI SCHOOL DISTRICT,221
Bayou Meto Elementary School,JACKSONVILLE NORTH PULASKI SCHOOL DISTRICT,411
Warren Dupree Elementary School,JACKSONVILLE NORTH PULASKI SCHOOL DISTRICT,398
Murrell Taylor Elementary School,JACKSONVILLE NORTH PULASKI SCHOOL DISTRICT,488
Tolleson Elementary School,JACKSONVILLE NORTH PULASKI SCHOOL DISTRICT,229
Pinewood Elementary School,JACKSONVILLE NORTH PULASKI SCHOOL DISTRICT,387
Jacksonville Middle School,JACKSONVILLE NORTH PULASKI SCHOOL DISTRICT,760
Jacksonville High School,JACKSONVILLE NORTH PULASKI SCHOOL DISTRICT,897
Maumelle Charter Elementary,ACADEMICS PLUS SCHOOL DISTRICT,565
Maumelle Charter High School,ACADEMICS PLUS SCHOOL DISTRICT,379
Scott Charter School,ACADEMICS PLUS SCHOOL DISTRICT,152
Lisa Academy North Elementary Charter School,LISA ACADEMY,399
Lisa Academy,LISA ACADEMY,345
Lisa Academy High,LISA ACADEMY,354
Lisa Academy North Middle Charter School,LISA ACADEMY,222
Lisa Academy North High Charter School,LISA ACADEMY,122
Lisa Academy Chenal,LISA ACADEMY,516
Ark Virtual Academy Elementary,ARKANSAS VIRTUAL ACADEMY,680
Ark Virtual Academy Middle Sch,ARKANSAS VIRTUAL ACADEMY,462
Arkansas Virtual Academy High School,ARKANSAS VIRTUAL ACADEMY,435
Covenant Keepers Charter,COVENANT KEEPERS CHARTER SCHOOL,151
Estem Elementary School,ESTEM PUBLIC CHARTER SCHOOL,502
Estem Middle School,ESTEM PUBLIC CHARTER SCHOOL,473
Estem High Charter,ESTEM PUBLIC CHARTER SCHOOL,475
Little Prep Academy Elementary,LITTLE ROCK PREPARATORY ACADEMY,253
Little Rock Prep Academy Middle,LITTLE ROCK PREPARATORY ACADEMY,144
Jacksonville Lighthouse Elementary,JACKSONVILLE LIGHTHOUSE CHARTER,362
Jacksonville Lighthouse College Prep Academy High,JACKSONVILLE LIGHTHOUSE CHARTER,404
Flightline Upper Academy,JACKSONVILLE LIGHTHOUSE CHARTER,168
Siatech High Charter,SIATECH LITTLE ROCK CHARTER,150
Premier High School of Little Rock,RESPONSIVE ED SOLUTIONS PREMIER HIGH SCHOOL OF LITTLE ROCK,93
Quest Academy of West Little Rock,RESPONSIVE EDUCATION SOLUTIONS QUEST MIDDLE SCHOOL OF LITTLE ROCK,193
Exalt Academy of Southwest Little Rock,EXALT ACADEMY OF SOUTHWEST LITTLE ROCK,251
Capitol City Lighthouse Lower Academy,CAPITOL CITY LIGHTHOUSE ACADEMY,236
Rockbridge Montessori Charter School,ROCKBRIDGE MONTESSORI,142
Ark. School for the Blind Elem,ARK. SCHOOL FOR THE BLIND,40
Ark. School for the Blind H.S.,ARK. SCHOOL FOR THE BLIND,37
Ark. School for the Deaf Elem.,ARK. SCHOOL FOR THE DEAF,71
Ark. School for the Deaf H.S.,ARK. SCHOOL FOR THE DEAF,56
Arkansas Consolidated High School-Alexander,DIVISION OF YOUTH SERVICES SCHOOL SYSTEM,100
Arkansas Consolidated High School-Dermott,DIVISION OF YOUTH SERVICES SCHOOL SYSTEM,59
Arkansas Consolidated High School-Lewisville,DIVISION OF YOUTH SERVICES SCHOOL SYSTEM,20
Arkansas Consolidated High School-Mansfield,DIVISION OF YOUTH SERVICES SCHOOL SYSTEM,29
Arkansas Consolidated High School-Harrisburg,DIVISION OF YOUTH SERVICES SCHOOL SYSTEM,33
Arkansas Consolidated High School-Colt,DIVISION OF YOUTH SERVICES SCHOOL SYSTEM,25
Maynard Elementary School,MAYNARD SCHOOL DISTRICT,244
